customer_id,industry,region,customer_type,service_model,annual_revenue_band
C0250,HVAC Contractor,Northeast,Regional Chain,Mixed,Mid-Market
C0251,HVAC Contractor,West,Local Independent,Emergency Repair,Small
C0252,Plumbing Contractor,Northeast,Local Independent,Emergency Repair,Small
C0253,HVAC Contractor,Northeast,Local Independent,Emergency Repair,Small
C0254,Appliance Repair,West,Local Independent,Routine Replenishment,Small
C0255,Commercial Kitchen Repair,Midwest,Local Independent,Emergency Repair,Small
C0256,HVAC Contractor,Midwest,Local Independent,Mixed,Small
C0257,Commercial Kitchen Repair,Southwest,Local Independent,Mixed,Small
C0258,HVAC Contractor,Southeast,Regional Chain,Mixed,Mid-Market
C0259,HVAC Contractor,Northeast,Local Independent,Routine Replenishment,Small
C0260,Plumbing Contractor,Southwest,Local Independent,Mixed,Small
C0261,Commercial Kitchen Repair,Northeast,Local Independent,Emergency Repair,Small
C0262,HVAC Contractor,Midwest,Local Independent,Routine Replenishment,Small
C0263,Appliance Repair,West,Local Independent,Routine Replenishment,Small
C0264,Pool/Spa Service,West,Local Independent,Mixed,Small
C0265,Pool/Spa Service,Southeast,Regional Chain,Routine Replenishment,Mid-Market
C0266,Plumbing Contractor,Southwest,Local Independent,Mixed,Small
C0267,Plumbing Contractor,Southwest,Local Independent,Emergency Repair,Small
C0268,Appliance Repair,Midwest,Local Independent,Mixed,Small
C0269,Commercial Kitchen Repair,Northeast,Local Independent,Routine Replenishment,Small
C0270,Plumbing Contractor,Southeast,Local Independent,Routine Replenishment,Small
C0271,Appliance Repair,Southwest,Local Independent,Mixed,Small
C0272,HVAC Contractor,West,Local Independent,Routine Replenishment,Small
C0273,HVAC Contractor,Northeast,Local Independent,Routine Replenishment,Small
C0274,Pool/Spa Service,Southwest,Regional Chain,Routine Replenishment,Mid-Market
C0275,Plumbing Contractor,West,Local Independent,Emergency Repair,Small
C0276,Plumbing Contractor,West,Regional Chain,Routine Replenishment,Mid-Market
C0277,Plumbing Contractor,Midwest,Local Independent,Emergency Repair,Small
C0278,Commercial Kitchen Repair,Northeast,Local Independent,Emergency Repair,Small
C0279,HVAC Contractor,Southeast,Regional Chain,Mixed,Mid-Market
C0280,HVAC Contractor,West,Regional Chain,Routine Replenishment,Mid-Market
C0281,Appliance Repair,West,Local Independent,Routine Replenishment,Small
C0282,Plumbing Contractor,Southwest,Regional Chain,Routine Replenishment,Mid-Market
C0283,Commercial Kitchen Repair,Northeast,Local Independent,Routine Replenishment,Small
C0284,Plumbing Contractor,Northeast,Local Independent,Routine Replenishment,Small
C0285,Plumbing Contractor,Midwest,National Account,Mixed,Large
C0286,Pool/Spa Service,Midwest,Local Independent,Mixed,Small
C0287,HVAC Contractor,Northeast,Regional Chain,Routine Replenishment,Mid-Market
C0288,Plumbing Contractor,Southwest,Local Independent,Routine Replenishment,Small
C0289,Plumbing Contractor,Midwest,Regional Chain,Routine Replenishment,Mid-Market
C0290,Plumbing Contractor,Northeast,Local Independent,Routine Replenishment,Small
C0291,Pool/Spa Service,Northeast,Local Independent,Routine Replenishment,Small
C0292,Appliance Repair,Midwest,Local Independent,Mixed,Small
C0293,Pool/Spa Service,Southwest,Local Independent,Routine Replenishment,Small
C0294,Appliance Repair,West,Local Independent,Routine Replenishment,Small
C0295,Plumbing Contractor,Midwest,Local Independent,Routine Replenishment,Small
C0296,Plumbing Contractor,Southeast,Local Independent,Routine Replenishment,Small
C0297,Pool/Spa Service,West,Local Independent,Emergency Repair,Small
C0298,Plumbing Contractor,Midwest,Local Independent,Emergency Repair,Small
C0299,Appliance Repair,Southeast,Regional Chain,Mixed,Mid-Market
C0300,HVAC Contractor,Midwest,Local Independent,Routine Replenishment,Small
C0301,Appliance Repair,Northeast,Regional Chain,Emergency Repair,Mid-Market
C0302,Pool/Spa Service,Southeast,Local Independent,Routine Replenishment,Small
C0303,HVAC Contractor,Midwest,Regional Chain,Mixed,Mid-Market
C0304,Pool/Spa Service,West,Local Independent,Emergency Repair,Small
C0305,Plumbing Contractor,Southwest,Local Independent,Mixed,Small
C0306,HVAC Contractor,Southwest,Local Independent,Mixed,Small
C0307,Appliance Repair,Midwest,Local Independent,Routine Replenishment,Small
C0308,Plumbing Contractor,Northeast,Local Independent,Mixed,Small
C0309,Appliance Repair,Southeast,Local Independent,Emergency Repair,Small
C0310,HVAC Contractor,West,National Account,Mixed,Large
C0311,Commercial Kitchen Repair,Northeast,Local Independent,Routine Replenishment,Small
C0312,Commercial Kitchen Repair,West,Local Independent,Mixed,Small
C0313,HVAC Contractor,Southwest,National Account,Routine Replenishment,Large
C0314,Appliance Repair,Southeast,Local Independent,Emergency Repair,Small
C0315,Appliance Repair,Southwest,Local Independent,Emergency Repair,Small
C0316,Commercial Kitchen Repair,West,Regional Chain,Mixed,Mid-Market
C0317,Commercial Kitchen Repair,Northeast,Regional Chain,Routine Replenishment,Mid-Market
C0318,Commercial Kitchen Repair,Northeast,Local Independent,Emergency Repair,Small
C0319,Pool/Spa Service,Southwest,Local Independent,Mixed,Small
C0320,Commercial Kitchen Repair,West,Local Independent,Mixed,Small
C0321,Appliance Repair,Northeast,Local Independent,Routine Replenishment,Small
C0322,HVAC Contractor,Southwest,Local Independent,Routine Replenishment,Small
C0323,Commercial Kitchen Repair,Northeast,Local Independent,Emergency Repair,Small
C0324,Pool/Spa Service,Southwest,Local Independent,Mixed,Small
C0325,Pool/Spa Service,Southwest,Regional Chain,Routine Replenishment,Mid-Market
C0326,Appliance Repair,Northeast,Local Independent,Mixed,Small
C0327,Appliance Repair,Southwest,Local Independent,Routine Replenishment,Small
C0328,HVAC Contractor,West,Local Independent,Routine Replenishment,Small
C0329,HVAC Contractor,West,Regional Chain,Emergency Repair,Mid-Market
C0330,Plumbing Contractor,Northeast,Local Independent,Emergency Repair,Small
C0331,Plumbing Contractor,Southeast,Local Independent,Mixed,Small
C0332,Appliance Repair,Southeast,Local Independent,Routine Replenishment,Small
C0333,Appliance Repair,Midwest,Local Independent,Routine Replenishment,Small
C0334,Pool/Spa Service,Northeast,Local Independent,Mixed,Small
C0335,Plumbing Contractor,West,Regional Chain,Mixed,Mid-Market
C0336,Pool/Spa Service,Southwest,Local Independent,Mixed,Small
C0337,Pool/Spa Service,West,Regional Chain,Emergency Repair,Mid-Market
C0338,Appliance Repair,Northeast,National Account,Routine Replenishment,Large
C0339,Appliance Repair,Northeast,Local Independent,Mixed,Small
C0340,Pool/Spa Service,West,Local Independent,Routine Replenishment,Small
C0341,Commercial Kitchen Repair,Southeast,Local Independent,Emergency Repair,Small
C0342,Appliance Repair,Southwest,Regional Chain,Mixed,Mid-Market
C0343,Commercial Kitchen Repair,West,Local Independent,Routine Replenishment,Small
C0344,Plumbing Contractor,Northeast,Local Independent,Routine Replenishment,Small
C0345,Pool/Spa Service,Northeast,Local Independent,Mixed,Small
C0346,Appliance Repair,Northeast,Regional Chain,Routine Replenishment,Mid-Market
C0347,Pool/Spa Service,Northeast,Local Independent,Routine Replenishment,Small
C0348,Pool/Spa Service,Northeast,Local Independent,Routine Replenishment,Small
C0349,HVAC Contractor,West,Local Independent,Routine Replenishment,Small
C0350,HVAC Contractor,Southwest,National Account,Emergency Repair,Large
C0351,Plumbing Contractor,West,Local Independent,Mixed,Small
C0352,HVAC Contractor,West,Local Independent,Mixed,Small
C0353,Appliance Repair,West,Regional Chain,Emergency Repair,Mid-Market
C0354,Plumbing Contractor,Southeast,Regional Chain,Routine Replenishment,Mid-Market
C0355,Pool/Spa Service,Southeast,Local Independent,Mixed,Small
C0356,Pool/Spa Service,West,Local Independent,Emergency Repair,Small
C0357,HVAC Contractor,Southeast,Regional Chain,Routine Replenishment,Mid-Market
C0358,Pool/Spa Service,Northeast,Regional Chain,Routine Replenishment,Mid-Market
C0359,HVAC Contractor,Southwest,Local Independent,Mixed,Small
C0360,Commercial Kitchen Repair,West,Local Independent,Emergency Repair,Small
C0361,Pool/Spa Service,West,Regional Chain,Mixed,Mid-Market
C0362,Pool/Spa Service,West,Regional Chain,Routine Replenishment,Mid-Market
C0363,Appliance Repair,Northeast,Regional Chain,Routine Replenishment,Mid-Market
C0364,Pool/Spa Service,Southwest,Local Independent,Emergency Repair,Small
C0365,HVAC Contractor,West,Local Independent,Routine Replenishment,Small
C0366,Plumbing Contractor,Southwest,Regional Chain,Routine Replenishment,Mid-Market
C0367,Plumbing Contractor,West,Regional Chain,Emergency Repair,Mid-Market
C0368,Appliance Repair,West,Regional Chain,Emergency Repair,Mid-Market
C0369,HVAC Contractor,Midwest,Local Independent,Emergency Repair,Small
C0370,Commercial Kitchen Repair,Northeast,Local Independent,Routine Replenishment,Small
C0371,Appliance Repair,Midwest,Regional Chain,Emergency Repair,Mid-Market
C0372,Commercial Kitchen Repair,Southeast,Local Independent,Mixed,Small
C0373,Plumbing Contractor,Northeast,National Account,Routine Replenishment,Large
C0374,Appliance Repair,Northeast,Local Independent,Mixed,Small
C0375,Pool/Spa Service,Southwest,Local Independent,Mixed,Small
C0376,HVAC Contractor,Midwest,Regional Chain,Emergency Repair,Mid-Market
C0377,Commercial Kitchen Repair,Midwest,Local Independent,Mixed,Small
C0378,Commercial Kitchen Repair,Southwest,Local Independent,Mixed,Small
C0379,Appliance Repair,Midwest,Local Independent,Routine Replenishment,Small
C0380,Appliance Repair,Southwest,Local Independent,Routine Replenishment,Small
C0381,HVAC Contractor,Northeast,Local Independent,Routine Replenishment,Small
C0382,Pool/Spa Service,West,Local Independent,Emergency Repair,Small
C0383,Pool/Spa Service,Midwest,Regional Chain,Routine Replenishment,Mid-Market
C0384,Appliance Repair,Northeast,Local Independent,Mixed,Small
C0385,HVAC Contractor,West,Local Independent,Mixed,Small
C0386,HVAC Contractor,Southwest,Local Independent,Emergency Repair,Small
C0387,HVAC Contractor,Northeast,Local Independent,Mixed,Small
C0388,Pool/Spa Service,Northeast,Local Independent,Routine Replenishment,Small
C0389,Pool/Spa Service,Northeast,Local Independent,Mixed,Small
C0390,HVAC Contractor,Southeast,Local Independent,Emergency Repair,Small
C0391,Commercial Kitchen Repair,Northeast,Local Independent,Mixed,Small
C0392,HVAC Contractor,Southwest,National Account,Mixed,Large
C0393,Appliance Repair,Midwest,Local Independent,Emergency Repair,Small
C0394,Plumbing Contractor,West,Local Independent,Emergency Repair,Small
C0395,Commercial Kitchen Repair,Southwest,Regional Chain,Mixed,Mid-Market
C0396,Pool/Spa Service,Southwest,Regional Chain,Emergency Repair,Mid-Market
C0397,HVAC Contractor,Midwest,Local Independent,Routine Replenishment,Small
C0398,HVAC Contractor,Northeast,Local Independent,Mixed,Small
C0399,Appliance Repair,Northeast,Local Independent,Routine Replenishment,Small
C0400,Appliance Repair,Southwest,Local Independent,Routine Replenishment,Small
C0401,Pool/Spa Service,Northeast,Local Independent,Routine Replenishment,Small
C0402,Commercial Kitchen Repair,Northeast,Local Independent,Emergency Repair,Small
C0403,Appliance Repair,Southeast,Local Independent,Mixed,Small
C0404,Pool/Spa Service,West,Local Independent,Routine Replenishment,Small
C0405,Plumbing Contractor,Midwest,National Account,Emergency Repair,Large
C0406,Plumbing Contractor,Southwest,Local Independent,Emergency Repair,Small
C0407,Plumbing Contractor,Midwest,Local Independent,Mixed,Small
C0408,HVAC Contractor,Northeast,Local Independent,Emergency Repair,Small
C0409,Pool/Spa Service,Southeast,Local Independent,Mixed,Small
C0410,HVAC Contractor,Northeast,Local Independent,Mixed,Small
C0411,HVAC Contractor,Southwest,Regional Chain,Mixed,Mid-Market
C0412,Appliance Repair,Northeast,Regional Chain,Mixed,Mid-Market
C0413,Appliance Repair,Southeast,Regional Chain,Mixed,Mid-Market
C0414,HVAC Contractor,West,National Account,Mixed,Large
C0415,HVAC Contractor,Midwest,National Account,Emergency Repair,Large
C0416,Commercial Kitchen Repair,Midwest,National Account,Mixed,Large
C0417,Pool/Spa Service,Midwest,Local Independent,Routine Replenishment,Small
C0418,HVAC Contractor,Southwest,Local Independent,Routine Replenishment,Small
C0419,Appliance Repair,Southeast,Local Independent,Mixed,Small
C0420,Plumbing Contractor,Southwest,Local Independent,Mixed,Small
C0421,Pool/Spa Service,West,Local Independent,Mixed,Small
C0422,Commercial Kitchen Repair,Midwest,Regional Chain,Routine Replenishment,Mid-Market
C0423,Commercial Kitchen Repair,Midwest,Local Independent,Routine Replenishment,Small
C0424,Plumbing Contractor,Northeast,Local Independent,Routine Replenishment,Small
C0425,Plumbing Contractor,Southeast,Local Independent,Routine Replenishment,Small
C0426,HVAC Contractor,West,Local Independent,Routine Replenishment,Small
C0427,Pool/Spa Service,Midwest,Local Independent,Emergency Repair,Small
C0428,Pool/Spa Service,Southeast,Regional Chain,Emergency Repair,Mid-Market
C0429,HVAC Contractor,Midwest,Local Independent,Mixed,Small
C0430,Commercial Kitchen Repair,Midwest,Regional Chain,Routine Replenishment,Mid-Market
C0431,HVAC Contractor,Midwest,Local Independent,Mixed,Small
C0432,Commercial Kitchen Repair,Southwest,Local Independent,Routine Replenishment,Small
C0433,Pool/Spa Service,Southeast,Local Independent,Emergency Repair,Small
C0434,HVAC Contractor,Southwest,Regional Chain,Emergency Repair,Mid-Market
C0435,Plumbing Contractor,Midwest,Regional Chain,Emergency Repair,Mid-Market
C0436,HVAC Contractor,West,Local Independent,Mixed,Small
C0437,Plumbing Contractor,Northeast,National Account,Emergency Repair,Large
C0438,Pool/Spa Service,Northeast,Local Independent,Routine Replenishment,Small
C0439,HVAC Contractor,Midwest,Regional Chain,Mixed,Mid-Market
C0440,Appliance Repair,Midwest,Local Independent,Mixed,Small
C0441,Pool/Spa Service,Southwest,Local Independent,Emergency Repair,Small
C0442,Appliance Repair,Midwest,Regional Chain,Emergency Repair,Mid-Market
C0443,HVAC Contractor,West,Local Independent,Emergency Repair,Small
C0444,Plumbing Contractor,Midwest,Local Independent,Emergency Repair,Small
C0445,Plumbing Contractor,Northeast,Local Independent,Emergency Repair,Small
C0446,Commercial Kitchen Repair,Northeast,Local Independent,Routine Replenishment,Small
C0447,Appliance Repair,West,Local Independent,Mixed,Small
C0448,Pool/Spa Service,Northeast,Regional Chain,Routine Replenishment,Mid-Market
C0449,Plumbing Contractor,West,Regional Chain,Routine Replenishment,Mid-Market
C0450,Appliance Repair,Southeast,Local Independent,Emergency Repair,Small
C0451,Pool/Spa Service,Northeast,Local Independent,Mixed,Small
C0452,Pool/Spa Service,Southeast,Local Independent,Routine Replenishment,Small
C0453,Plumbing Contractor,Southwest,Local Independent,Mixed,Small
C0454,HVAC Contractor,Midwest,Local Independent,Mixed,Small
C0455,Plumbing Contractor,Southwest,National Account,Routine Replenishment,Large
C0456,Plumbing Contractor,Southwest,Regional Chain,Emergency Repair,Mid-Market
C0457,HVAC Contractor,Midwest,Regional Chain,Emergency Repair,Mid-Market
C0458,Commercial Kitchen Repair,Southwest,Local Independent,Routine Replenishment,Small
C0459,Pool/Spa Service,West,Local Independent,Mixed,Small
C0460,HVAC Contractor,Midwest,Local Independent,Routine Replenishment,Small
C0461,Commercial Kitchen Repair,Northeast,Local Independent,Mixed,Small
C0462,HVAC Contractor,Midwest,Local Independent,Routine Replenishment,Small
C0463,Commercial Kitchen Repair,West,Local Independent,Emergency Repair,Small
C0464,Plumbing Contractor,Southeast,Local Independent,Routine Replenishment,Small
C0465,HVAC Contractor,West,National Account,Mixed,Large
C0466,Pool/Spa Service,Midwest,Local Independent,Mixed,Small
C0467,HVAC Contractor,Southwest,National Account,Routine Replenishment,Large
C0468,Plumbing Contractor,Southeast,Local Independent,Emergency Repair,Small
C0469,HVAC Contractor,West,Local Independent,Mixed,Small
C0470,Pool/Spa Service,Northeast,Local Independent,Emergency Repair,Small
C0471,Commercial Kitchen Repair,Southeast,Local Independent,Mixed,Small
C0472,Pool/Spa Service,Midwest,Local Independent,Emergency Repair,Small
C0473,Plumbing Contractor,Midwest,Local Independent,Emergency Repair,Small
C0474,Plumbing Contractor,Midwest,Regional Chain,Routine Replenishment,Mid-Market
C0475,Commercial Kitchen Repair,Northeast,Local Independent,Routine Replenishment,Small
C0476,Commercial Kitchen Repair,Southeast,Local Independent,Routine Replenishment,Small
C0477,Pool/Spa Service,Northeast,Local Independent,Routine Replenishment,Small
C0478,HVAC Contractor,Midwest,Local Independent,Mixed,Small
C0479,Commercial Kitchen Repair,Southeast,Local Independent,Routine Replenishment,Small
C0480,HVAC Contractor,Midwest,Local Independent,Routine Replenishment,Small
C0481,Appliance Repair,Midwest,National Account,Routine Replenishment,Large
C0482,Pool/Spa Service,Southwest,Regional Chain,Emergency Repair,Mid-Market
C0483,Appliance Repair,Midwest,Regional Chain,Routine Replenishment,Mid-Market
C0484,Commercial Kitchen Repair,Southwest,Local Independent,Emergency Repair,Small
C0485,Plumbing Contractor,Midwest,Local Independent,Routine Replenishment,Small
C0486,Appliance Repair,Southwest,Regional Chain,Emergency Repair,Mid-Market
C0487,Appliance Repair,Southwest,Local Independent,Mixed,Small
C0488,Plumbing Contractor,Southeast,Local Independent,Routine Replenishment,Small
C0489,Commercial Kitchen Repair,Southeast,Local Independent,Mixed,Small
C0490,Commercial Kitchen Repair,Southwest,Regional Chain,Routine Replenishment,Mid-Market
C0491,Pool/Spa Service,Southeast,Local Independent,Emergency Repair,Small
C0492,Pool/Spa Service,Midwest,Regional Chain,Mixed,Mid-Market
C0493,Commercial Kitchen Repair,Northeast,Regional Chain,Routine Replenishment,Mid-Market
C0494,Commercial Kitchen Repair,Midwest,Local Independent,Mixed,Small
C0495,Appliance Repair,Midwest,Regional Chain,Routine Replenishment,Mid-Market
C0496,Plumbing Contractor,Southwest,Local Independent,Routine Replenishment,Small
C0497,HVAC Contractor,Midwest,Local Independent,Mixed,Small
C0498,Appliance Repair,Southeast,Local Independent,Routine Replenishment,Small
C0499,Pool/Spa Service,West,National Account,Routine Replenishment,Large
C0500,Plumbing Contractor,Midwest,Local Independent,Mixed,Small
